"author","comment","commentsCount","pageUrl","replyCount","title","type","videoID","voteCount"
"@AuroreQuiniou","😂😂😂😂❤❤❤❤❤😊😊😊","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@BikashRai-d6n","Is it Chinese or Korean language","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","comment",,"0"
"@kahanbhatt2008","Broo 😂😂😂","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"112"
"@ifabirdfly","W clarification","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"117"
"@gelaciovaldez7137","Lol you just commented","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"75"
"@lipbalmh","technologia","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"348"
"@davialmeida6784","Manda salve","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"54"
"@sangamkoirala22","How they put it back on?","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"236"
"@TamNguyen-d4s9m","Ohh","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"41"
"@liviafeitosa2125","manda um oi pra mim ikikk nao perco um vidio seu","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"50"
"@stfu2531","but they are not on the sleeves??","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"117"
"@Pranjal_VermaXD","Smart","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"35"
"@FounderAndCeo001","That's pretty cool... I really was wondering 😂","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"33"
"@Canopenerr","2 mind","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"25"
"@FhGh-x4d","10000. Ok. ❤❤❤❤❤❤ 2:01 2:03 2:04 2:05 2:05 2:05","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"25"
"@francissobotka8725","There are no buttons .","52636","https://www.youtube.com/watch?v=4l97aNza_Zc","0","Survive 30 Days Chained To Your Ex, Win $250,000","reply",,"119"
